ref_id,name,chassis_code,year,price_usd,price_jpy,mileage_km,engine_cc,fuel,transmission,steering,vehicle_type,options,has_sunroof,has_leather,has_navigation,has_alloy_wheels,has_4wd,has_airbag,has_abs,has_camera,location,date_listed,detail_url
CD375546,2019 TOYOTA HIACE VAN,CD375546,2019,"$16,830",,88137,2800,,AT,,VAN,,0,0,0,0,0,0,0,0,Kyushu,,https://www.beforward.jp/toyota/hiace-van/cd375546/id/15330341/?mfg_year_from=2018
CD375548,2025 TOYOTA LAND CRUISER,CD375548,2025,"$42,260",,1768,2700,,AT,,,,0,0,0,0,0,0,0,0,Osaka,,https://www.beforward.jp/toyota/land-cruiser/cd375548/id/15330343/?mfg_year_from=2018
CD375570,2018 BMW X3,CD375570,2018,"$18,550",,30300,2000,,AT,,,,0,0,0,0,0,0,0,0,Kyushu,,https://www.beforward.jp/bmw/x3/cd375570/id/15330367/?mfg_year_from=2018
CD375571,2020 MERCEDES-BENZ GLB- CLASS,CD375571,2020,"$29,140",,27658,2000,,AT,,,,0,0,0,0,0,0,0,0,Kyushu,,https://www.beforward.jp/mercedes-benz/glb-class/cd375571/id/15330368/?mfg_year_from=2018
CD375545,2018 MERCEDES-BENZ GLA-CLASS,CD375545,2018,"$10,030",,16550,2000,,AT,,,,0,0,0,0,0,0,0,0,Yokohama,,https://www.beforward.jp/mercedes-benz/gla-class/cd375545/id/15330340/?mfg_year_from=2018
CD375547,2025 TOYOTA HARRIER HYBRID,CD375547,2025,"$35,630",,7960,2500,HYBRID,CVT,,,,0,0,0,0,0,0,0,0,Osaka,,https://www.beforward.jp/toyota/harrier-hybrid/cd375547/id/15330342/?mfg_year_from=2018
CD375533,2023 TOYOTA LAND CRUISER PRADO,CD375533,2023,"$34,310",,29400,2800,,AT,,,,0,0,0,0,0,0,0,0,Kyushu,,https://www.beforward.jp/toyota/land-cruiser-prado/cd375533/id/15330327/?mfg_year_from=2018
CD375495,2026 TOYOTA HIACE VAN,CD375495,2026,"$36,480",,13,2800,,AT,,VAN,,0,0,0,0,0,0,0,0,Hokkaido,,https://www.beforward.jp/toyota/hiace-van/cd375495/id/15330288/?mfg_year_from=2018
CD375558,2019 BMW X1,CD375558,2019,"$13,120",,40336,1500,,AT,,,,0,0,0,0,0,0,0,0,Kyushu,,https://www.beforward.jp/bmw/x1/cd375558/id/15330353/?mfg_year_from=2018
CD375559,2020 BMW X4,CD375559,2020,"$27,740",,48000,2000,,AT,,,,0,0,0,0,0,0,0,0,Kyushu,,https://www.beforward.jp/bmw/x4/cd375559/id/15330354/?mfg_year_from=2018
CD375482,2018 BMW MINI,CD375482,2018,"$9,940",,90000,2000,,AT,,,,0,0,0,0,0,0,0,0,Kyushu,,https://www.beforward.jp/bmw/mini/cd375482/id/15330275/?mfg_year_from=2018
CD375494,2021 JEEP RENEGADE,CD375494,2021,"$15,020",,58000,1300,,AT,,,,0,0,0,0,0,0,0,0,Hokkaido,,https://www.beforward.jp/jeep/renegade/cd375494/id/15330287/?mfg_year_from=2018
CD375447,2021 TOYOTA HIACE VAN,CD375447,2021,"$20,190",,145980,2800,,AT,,VAN,,0,0,0,0,0,0,0,0,Yokohama,,https://www.beforward.jp/toyota/hiace-van/cd375447/id/15330239/?mfg_year_from=2018
CD375448,2018 TOYOTA HIACE VAN,CD375448,2018,"$12,910",,117276,2000,,AT,,VAN,,0,0,0,0,0,0,0,0,Yokohama,,https://www.beforward.jp/toyota/hiace-van/cd375448/id/15330240/?mfg_year_from=2018
CD375450,2018 TOYOTA HIACE VAN,CD375450,2018,"$18,470",,129247,2800,,AT,,VAN,,0,0,0,0,0,0,0,0,Yokohama,,https://www.beforward.jp/toyota/hiace-van/cd375450/id/15330242/?mfg_year_from=2018
CD375456,2019 TOYOTA HIACE VAN,CD375456,2019,"$12,910",,95406,2000,,AT,,VAN,,0,0,0,0,0,0,0,0,Yokohama,,https://www.beforward.jp/toyota/hiace-van/cd375456/id/15330249/?mfg_year_from=2018
CD375481,2022 TOYOTA HILUX 2.4 J REVO SINGLE CAB,CD375481,2022,"$15,540",,45000,2393,,MT,,,,0,0,0,0,0,0,0,0,Thailand,,https://www.beforward.jp/toyota/hilux/cd375481/id/15330273/?mfg_year_from=2018
CD375480,2019 TOYOTA HILUX 2.4 E REVO DOUBLE CAB,CD375480,2019,"$18,850",,45000,2393,,MT,,,,0,0,0,0,0,0,0,0,Thailand,,https://www.beforward.jp/toyota/hilux/cd375480/id/15330271/?mfg_year_from=2018
CD375464,2025 TOYOTA VELLFIRE HYBRID,CD375464,2025,"$51,150",,687,2500,HYBRID,CVT,,,,0,0,0,0,0,0,0,0,Hokkaido,,https://www.beforward.jp/toyota/vellfire-hybrid/cd375464/id/15330257/?mfg_year_from=2018
CD375470,2024 SUZUKI EVERY,CD375470,2024,"$9,940",,3,660,,CVT,,,,0,0,0,0,0,0,0,0,Yokohama,,https://www.beforward.jp/suzuki/every/cd375470/id/15330263/?mfg_year_from=2018
